"omittedYear","omittedPeriod","term","literal","earlyArticleCount","earlyHitArticleCount","earlyArticleCoverage","middleArticleCount","middleHitArticleCount","middleArticleCoverage","lateArticleCount","lateHitArticleCount","lateArticleCoverage","baselineTrajectory","alternativeTrajectory","trajectoryChanged","baselineEarlyLateDirection","alternativeEarlyLateDirection","earlyLateDirectionFlip"
"2018","early","love","爱","441","98","0.22222222","1635","424","0.25932722","1119","354","0.31635389","increase_in_both_transitions","increase_in_both_transitions","False","increase","increase","False"
"2018","early","naturalLaw","自然法","441","8","0.01814059","1635","54","0.03302752","1119","69","0.0616622","increase_in_both_transitions","increase_in_both_transitions","False","increase","increase","False"
"2018","early","labor","劳动","441","23","0.0521542","1635","71","0.04342508","1119","81","0.07238606","down_then_up","down_then_up","False","increase","increase","False"
"2018","early","responsibility","责任","441","75","0.17006803","1635","278","0.17003058","1119","173","0.15460232","up_then_down","decrease_in_both_transitions","True","decrease","decrease","False"
"2018","early","freedom","自由","441","74","0.16780045","1635","242","0.14801223","1119","150","0.13404826","decrease_in_both_transitions","decrease_in_both_transitions","False","decrease","decrease","False"
"2018","early","ethics","伦理","441","60","0.13605442","1635","141","0.08623853","1119","70","0.06255585","decrease_in_both_transitions","decrease_in_both_transitions","False","decrease","decrease","False"
"2018","early","fact","事实","441","123","0.27891156","1635","403","0.24648318","1119","209","0.18677391","decrease_in_both_transitions","decrease_in_both_transitions","False","decrease","decrease","False"
"2018","early","ability","能力","441","162","0.36734694","1635","485","0.29663609","1119","278","0.2484361","decrease_in_both_transitions","decrease_in_both_transitions","False","decrease","decrease","False"
"2019","early","love","爱","398","92","0.23115578","1635","424","0.25932722","1119","354","0.31635389","increase_in_both_transitions","increase_in_both_transitions","False","increase","increase","False"
"2019","early","naturalLaw","自然法","398","4","0.01005025","1635","54","0.03302752","1119","69","0.0616622","increase_in_both_transitions","increase_in_both_transitions","False","increase","increase","False"
"2019","early","labor","劳动","398","23","0.05778894","1635","71","0.04342508","1119","81","0.07238606","down_then_up","down_then_up","False","increase","increase","False"
"2019","early","responsibility","责任","398","64","0.16080402","1635","278","0.17003058","1119","173","0.15460232","up_then_down","up_then_down","False","decrease","decrease","False"
"2019","early","freedom","自由","398","66","0.16582915","1635","242","0.14801223","1119","150","0.13404826","decrease_in_both_transitions","decrease_in_both_transitions","False","decrease","decrease","False"
"2019","early","ethics","伦理","398","52","0.13065327","1635","141","0.08623853","1119","70","0.06255585","decrease_in_both_transitions","decrease_in_both_transitions","False","decrease","decrease","False"
"2019","early","fact","事实","398","110","0.27638191","1635","403","0.24648318","1119","209","0.18677391","decrease_in_both_transitions","decrease_in_both_transitions","False","decrease","decrease","False"
"2019","early","ability","能力","398","144","0.36180905","1635","485","0.29663609","1119","278","0.2484361","decrease_in_both_transitions","decrease_in_both_transitions","False","decrease","decrease","False"
"2020","early","love","爱","187","34","0.18181818","1635","424","0.25932722","1119","354","0.31635389","increase_in_both_transitions","increase_in_both_transitions","False","increase","increase","False"
