"period","articleCount","concept","literal","documentCount","documentsPer100"
"2017_seed","1","ability","能力","1","100"
"2017_seed","1","choice","选择","0","0"
"2017_seed","1","cost","成本","0","0"
"2017_seed","1","responsibility","责任","0","0"
"2017_seed","1","risk","风险","0","0"
"2017_seed","1","resource","资源","0","0"
"2017_seed","1","interest","利益","0","0"
"2017_seed","1","obligation","义务","0","0"
"2017_seed","1","right","权利","0","0"
"2017_seed","1","morality","道德","0","0"
"2017_seed","1","respect","尊重","0","0"
"2017_seed","1","ethics","伦理","0","0"
"2017_seed","1","cooperation","合作","0","0"
"2017_seed","1","control","控制","0","0"
"2017_seed","1","status","地位","0","0"
"2017_seed","1","power","权力","0","0"
"2017_seed","1","wealth","财富","0","0"
"2017_seed","1","credit","信用","0","0"
"2017_seed","1","love","爱","0","0"
"2017_seed","1","god","上帝","0","0"
"2017_seed","1","natural_law","自然法","0","0"
"2017_seed","1","fact","事实","0","0"
"2017_seed","1","evidence","证据","0","0"
"2017_seed","1","logic","逻辑","0","0"
"2017_seed","1","labor","劳动","0","0"
"2017_seed","1","market","市场","1","100"
"2017_seed","1","state","国家","0","0"
"2017_seed","1","law","法律","0","0"
"2017_seed","1","history","历史","1","100"
"2017_seed","1","technology","技术","0","0"
"2017_seed","1","war","战争","0","0"
"2017_seed","1","gender","性别","0","0"
"2017_seed","1","trauma","创伤","0","0"
"2018_2020","513","ability","能力","190","37.04"
"2018_2020","513","choice","选择","169","32.94"
"2018_2020","513","cost","成本","117","22.81"
"2018_2020","513","responsibility","责任","84","16.37"
"2018_2020","513","risk","风险","63","12.28"
"2018_2020","513","resource","资源","91","17.74"
"2018_2020","513","interest","利益","63","12.28"
"2018_2020","513","obligation","义务","53","10.33"
"2018_2020","513","right","权利","53","10.33"
"2018_2020","513","morality","道德","60","11.7"
"2018_2020","513","respect","尊重","37","7.21"
"2018_2020","513","ethics","伦理","70","13.65"
"2018_2020","513","cooperation","合作","42","8.19"
"2018_2020","513","control","控制","58","11.31"
"2018_2020","513","status","地位","52","10.14"
"2018_2020","513","power","权力","40","7.8"
"2018_2020","513","wealth","财富","35","6.82"
"2018_2020","513","credit","信用","20","3.9"
"2018_2020","513","love","爱","117","22.81"
"2018_2020","513","god","上帝","36","7.02"
"2018_2020","513","natural_law","自然法","8","1.56"
"2018_2020","513","fact","事实","152","29.63"
"2018_2020","513","evidence","证据","32","6.24"
"2018_2020","513","logic","逻辑","143","27.88"
"2018_2020","513","labor","劳动","29","5.65"
"2018_2020","513","market","市场","53","10.33"
"2018_2020","513","state","国家","86","16.76"
"2018_2020","513","law","法律","40","7.8"
"2018_2020","513","history","历史","97","18.91"
"2018_2020","513","technology","技术","88","17.15"
"2018_2020","513","war","战争","30","5.85"
"2018_2020","513","gender","性别","5","0.97"
"2018_2020","513","trauma","创伤","5","0.97"
"2021_2023","1676","ability","能力","500","29.83"
"2021_2023","1676","choice","选择","463","27.63"
"2021_2023","1676","cost","成本","383","22.85"
"2021_2023","1676","responsibility","责任","296","17.66"
"2021_2023","1676","risk","风险","256","15.27"
"2021_2023","1676","resource","资源","233","13.9"
"2021_2023","1676","interest","利益","200","11.93"
"2021_2023","1676","obligation","义务","182","10.86"
"2021_2023","1676","right","权利","178","10.62"
"2021_2023","1676","morality","道德","158","9.43"
"2021_2023","1676","respect","尊重","161","9.61"
"2021_2023","1676","ethics","伦理","148","8.83"
"2021_2023","1676","cooperation","合作","116","6.92"
"2021_2023","1676","control","控制","135","8.05"
"2021_2023","1676","status","地位","123","7.34"
"2021_2023","1676","power","权力","97","5.79"
"2021_2023","1676","wealth","财富","87","5.19"
"2021_2023","1676","credit","信用","51","3.04"
"2021_2023","1676","love","爱","453","27.03"
"2021_2023","1676","god","上帝","95","5.67"
"2021_2023","1676","natural_law","自然法","58","3.46"
"2021_2023","1676","fact","事实","416","24.82"
"2021_2023","1676","evidence","证据","116","6.92"
"2021_2023","1676","logic","逻辑","380","22.67"
"2021_2023","1676","labor","劳动","78","4.65"
"2021_2023","1676","market","市场","154","9.19"
"2021_2023","1676","state","国家","258","15.39"
"2021_2023","1676","law","法律","163","9.73"
"2021_2023","1676","history","历史","277","16.53"
"2021_2023","1676","technology","技术","206","12.29"
"2021_2023","1676","war","战争","78","4.65"
"2021_2023","1676","gender","性别","16","0.95"
"2021_2023","1676","trauma","创伤","14","0.84"
"2024_2026","1860","ability","能力","528","28.39"
"2024_2026","1860","choice","选择","486","26.13"
"2024_2026","1860","cost","成本","354","19.03"
"2024_2026","1860","responsibility","责任","317","17.04"
"2024_2026","1860","risk","风险","326","17.53"
"2024_2026","1860","resource","资源","286","15.38"
"2024_2026","1860","interest","利益","204","10.97"
"2024_2026","1860","obligation","义务","217","11.67"
"2024_2026","1860","right","权利","141","7.58"
"2024_2026","1860","morality","道德","147","7.9"
"2024_2026","1860","respect","尊重","154","8.28"
"2024_2026","1860","ethics","伦理","117","6.29"
"2024_2026","1860","cooperation","合作","144","7.74"
"2024_2026","1860","control","控制","103","5.54"
"2024_2026","1860","status","地位","121","6.51"
"2024_2026","1860","power","权力","83","4.46"
"2024_2026","1860","wealth","财富","95","5.11"
"2024_2026","1860","credit","信用","87","4.68"
"2024_2026","1860","love","爱","646","34.73"
"2024_2026","1860","god","上帝","44","2.37"
"2024_2026","1860","natural_law","自然法","129","6.94"
"2024_2026","1860","fact","事实","377","20.27"
"2024_2026","1860","evidence","证据","97","5.22"
"2024_2026","1860","logic","逻辑","350","18.82"
"2024_2026","1860","labor","劳动","143","7.69"
"2024_2026","1860","market","市场","137","7.37"
"2024_2026","1860","state","国家","162","8.71"
"2024_2026","1860","law","法律","132","7.1"
"2024_2026","1860","history","历史","254","13.66"
"2024_2026","1860","technology","技术","212","11.4"
"2024_2026","1860","war","战争","57","3.06"
"2024_2026","1860","gender","性别","12","0.65"
"2024_2026","1860","trauma","创伤","20","1.08"
