"year","completeYear","articleCount","concept","literal","documentCount","documentsPer100"
"2017","False","1","ability","能力","1","100"
"2017","False","1","choice","选择","0","0"
"2017","False","1","cost","成本","0","0"
"2017","False","1","responsibility","责任","0","0"
"2017","False","1","risk","风险","0","0"
"2017","False","1","resource","资源","0","0"
"2017","False","1","interest","利益","0","0"
"2017","False","1","obligation","义务","0","0"
"2017","False","1","right","权利","0","0"
"2017","False","1","morality","道德","0","0"
"2017","False","1","respect","尊重","0","0"
"2017","False","1","ethics","伦理","0","0"
"2017","False","1","cooperation","合作","0","0"
"2017","False","1","control","控制","0","0"
"2017","False","1","status","地位","0","0"
"2017","False","1","power","权力","0","0"
"2017","False","1","wealth","财富","0","0"
"2017","False","1","credit","信用","0","0"
"2017","False","1","love","爱","0","0"
"2017","False","1","god","上帝","0","0"
"2017","False","1","natural_law","自然法","0","0"
"2017","False","1","fact","事实","0","0"
"2017","False","1","evidence","证据","0","0"
"2017","False","1","logic","逻辑","0","0"
"2017","False","1","labor","劳动","0","0"
"2017","False","1","market","市场","1","100"
"2017","False","1","state","国家","0","0"
"2017","False","1","law","法律","0","0"
"2017","False","1","history","历史","1","100"
"2017","False","1","technology","技术","0","0"
"2017","False","1","war","战争","0","0"
"2017","False","1","gender","性别","0","0"
"2017","False","1","trauma","创伤","0","0"
"2018","True","72","ability","能力","26","36.11"
"2018","True","72","choice","选择","24","33.33"
"2018","True","72","cost","成本","13","18.06"
"2018","True","72","responsibility","责任","8","11.11"
"2018","True","72","risk","风险","8","11.11"
"2018","True","72","resource","资源","10","13.89"
"2018","True","72","interest","利益","3","4.17"
"2018","True","72","obligation","义务","3","4.17"
"2018","True","72","right","权利","4","5.56"
"2018","True","72","morality","道德","4","5.56"
"2018","True","72","respect","尊重","4","5.56"
"2018","True","72","ethics","伦理","7","9.72"
"2018","True","72","cooperation","合作","3","4.17"
"2018","True","72","control","控制","12","16.67"
"2018","True","72","status","地位","10","13.89"
"2018","True","72","power","权力","4","5.56"
"2018","True","72","wealth","财富","5","6.94"
"2018","True","72","credit","信用","0","0"
"2018","True","72","love","爱","15","20.83"
"2018","True","72","god","上帝","8","11.11"
"2018","True","72","natural_law","自然法","0","0"
"2018","True","72","fact","事实","27","37.5"
"2018","True","72","evidence","证据","6","8.33"
"2018","True","72","logic","逻辑","26","36.11"
"2018","True","72","labor","劳动","6","8.33"
"2018","True","72","market","市场","6","8.33"
"2018","True","72","state","国家","8","11.11"
"2018","True","72","law","法律","2","2.78"
"2018","True","72","history","历史","21","29.17"
"2018","True","72","technology","技术","15","20.83"
"2018","True","72","war","战争","8","11.11"
"2018","True","72","gender","性别","0","0"
