"year","domain","documentCount"
"2017","www.zhihu.com","1"
"2018","www.zhihu.com","72"
"2019","www.zhihu.com","115"
"2020","www.zhihu.com","326"
"2021","afdian.com","2"
"2021","www.zhihu.com","623"
"2022","afdian.com","6"
"2022","www.zhihu.com","437"
"2022","zhuanlan.zhihu.com","2"
"2023","afdian.com","33"
"2023","www.zhihu.com","571"
"2023","zhuanlan.zhihu.com","2"
"2024","afdian.com","216"
"2024","www.zhihu.com","585"
"2024","zhuanlan.zhihu.com","1"
"2025","afdian.com","385"
"2025","www.zhihu.com","281"
"2025","zhuanlan.zhihu.com","1"
"2026","afdian.com","62"
"2026","ifdian.net","4"
"2026","www.ifdian.net","74"
"2026","www.zhihu.com","248"
"2026","zhuanlan.zhihu.com","3"
